"","NCBI","Region","Sample","Taxon.x","Sample_id.x","bitscore","pident","qseqid","Rel_size"
"1","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",344,97.99,"M01745:209:000000000BPFVG:1:1101:10117:3272_1:N:0:19",0.00385524188533764
"2","Hit","ITS1","826","H_perforatum_type_2","826_ITS1",446,98.8,"M01745:209:000000000BPFVG:1:1101:10147:5050_2:N:0:19",0.00264553255474783
"3","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",351,98.985,"M01745:209:000000000BPFVG:1:1101:10673:17480_1:N:0:19",0.000271336672281828
"4","Hit","ITS1","826","H_perforatum_type_3","826_ITS1",457,99.6,"M01745:209:000000000BPFVG:1:1101:11095:12351_2:N:0:19",0.000180891114854552
"5","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",351,98.985,"M01745:209:000000000BPFVG:1:1101:11802:16994_1:N:0:19",0.000214808198889781
"6","Hit","ITS1","826","H_perforatum_type_3","826_ITS1",440,98.4,"M01745:209:000000000BPFVG:1:1101:14180:10312_2:N:0:19",0.000587896123277295
"7","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",346,98.477,"M01745:209:000000000BPFVG:1:1101:15404:6033_1:N:0:19",0.0034482368769149
"8","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",359,99.492,"M01745:209:000000000BPFVG:1:1101:16446:1442_1:N:0:19",0.0048727544063945
"9","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",459,99.602,"M01745:209:000000000BPFVG:1:1101:16498:14592_2:N:0:19",0.115838147674984
"10","Hit","ITS1","826","H_perforatum_type_3","826_ITS1",435,98,"M01745:209:000000000BPFVG:1:1101:16698:6092_2:N:0:19",0.000599201817955704
"11","Hit","ITS1","826","H_perforatum_type_3","826_ITS1",440,98.4,"M01745:209:000000000BPFVG:1:1101:18357:15874_2:N:0:19",0.000407005008422743
"12","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",451,99.2,"M01745:209:000000000BPFVG:1:1101:19622:12256_2:N:0:19",0.00170715989643984
"13","Hit","ITS1","826","H_perforatum_type_2","826_ITS1",462,100,"M01745:209:000000000BPFVG:1:1101:19855:4740_2:N:0:19",0.027054527365434
"14","Hit","ITS1","826","H_attenuatum","826_ITS1",435,98,"M01745:209:000000000BPFVG:1:1101:20398:4875_2:N:0:19",0.0002374195882466
"15","Hit","ITS1","826","H_maculatum_type_2","826_ITS1",435,98,"M01745:209:000000000BPFVG:1:1101:20398:4875_2:N:0:19",0.0002374195882466
"16","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",435,98,"M01745:209:000000000BPFVG:1:1101:20398:4875_2:N:0:19",0.0002374195882466
"17","Hit","ITS1","826","H_tetrapterum","826_ITS1",435,98,"M01745:209:000000000BPFVG:1:1101:20398:4875_2:N:0:19",0.0002374195882466
"18","Hit","ITS1","826","H_undulatum","826_ITS1",435,98,"M01745:209:000000000BPFVG:1:1101:20398:4875_2:N:0:19",0.0002374195882466
"19","Hit","ITS1","826","H_perforatum_type_2","826_ITS1",359,99.492,"M01745:209:000000000BPFVG:1:1101:21344:4530_1:N:0:19",0.0106499643870618
"20","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",449,99.197,"M01745:209:000000000BPFVG:1:1101:2179:18789_2:N:0:19",0.000124362641462505
"21","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",351,98.985,"M01745:209:000000000BPFVG:1:1101:25525:13361_1:N:0:19",0.000327865145673876
"22","Hit","ITS1","826","H_perforatum_type_1","826_ITS1",451,99.2,"M01745:209:000000000BPFVG:1:1101:26236:20039_2:N:0:19",0.000169585420176143
